STT (cột 1)	STT của chương (cột 2)	Tên chương (cột 3)	Mã liên kết (cột 4)	Tên kỹ thuật (cột 5)	
26	26	1. Thần kinh 	10.47	Phẫu thuật đóng đường rò tủy sống	
27	27	1. Thần kinh 	10.48	Phẫu thuật u dưới trong màng tủy ngoài tuỷ bằng đường vào phía sau hoặc sau – ngoài	
28	28	1. Thần kinh 	10.49	Phẫu thuật u dưới màng tủy ngoài tủy kèm theo tái tạo đốt sống bằng đường vào phía trước hoặc trước ngoài	
29	29	1. Thần kinh 	10.5	Phẫu thuật u ngoài màng cứng tủy sống-rễ thần kinh bằng đường vào phía sau	
30	30	1. Thần kinh 	10.51	Phẫu thuật u rễ thần kinh ngoài màng tủy kèm tái tạo đốt sống bằng đường vào phía sau	
31	31	1. Thần kinh 	10.52	Phẫu thuật u trong và ngoài ống sống không tái tạo đốt sống bằng đường vào phía sau hoặc sau-ngoài	
32	32	1. Thần kinh 	10.53	Phẫu thuật u trong và ngoài ống sống kèm tái tạo đốt sống bằng đường vào trước hoặc trước-ngoài	
33	33	1. Thần kinh 	10.63	Phẫu thuật mở thông não thất mở thông nang dưới nhện qua mở nắp sọ	
34	34	1. Thần kinh 	10.56	Phẫu thuật cố định cột sống lấy u có ghép xương hoặc lồng titan	
35	35	1. Thần kinh	10.57; 1.202; 2.129; 3.146; 3.148	Chọc dịch não tủy thắt lưng	
36	36	1. Thần kinh 		Chọc dịch não tủy qua thóp	
37	37	1. Thần kinh 	10.59	Phẫu thuật dẫn lưu não thất - tâm nhĩ trong dãn não thất	
38	38	1. Thần kinh 	10.6	Phẫu thuật dẫn lưu dịch não tủy thắt lưng - ổ bụng	
39	39	1. Thần kinh 	10.61	Phẫu thuật dẫn lưu nang dưới nhện nội sọ - ổ bụng	
40	40	1. Thần kinh 	10.62	Phẫu thuật dẫn lưu nang dưới nhện nội sọ - tâm nhĩ	
41	41	1. Thần kinh 	10.64	"Phẫu thuật lấy dẫn lưu não thất (ổ bụng, tâm nhĩ) hoặc dẫn lưu nang dịch não tủy (ổ bụng, não thất)"	
42	42	1. Thần kinh 		Kỹ thuật bơm thuốc tiêu sợi huyết khối máu tụ qua ống thông trong đột quỵ chảy máu não	
43	43	1. Thần kinh 	10.65		
44	44	1. Thần kinh 	10.66		
45	45	1. Thần kinh 	10.67		
46	46	1. Thần kinh 	10.68		
47	47	1. Thần kinh 	10.69		
48	48	1. Thần kinh 	10.7		
49	49	1. Thần kinh 	10.71		
50	50	1. Thần kinh 	27.73		
51	51	1. Thần kinh 	10.75		
52	52	1. Thần kinh 	10.76		
53	53	1. Thần kinh 	10.91		
54	54	1. Thần kinh 	10.92		
55	55	1. Thần kinh 	10.93		
56	56	1. Thần kinh 	10.94		
57	57	1. Thần kinh 	10.95		
58	58	1. Thần kinh 	10.96		
59	59	1. Thần kinh 	10.97		
60	60	1. Thần kinh 	10.98		
61	61	1. Thần kinh 	10.99		
62	62	1. Thần kinh 	10.1		
63	63	1. Thần kinh 	10.101		
64	64	1. Thần kinh 	10.102		
65	65	1. Thần kinh 	10.103		
66	66	1. Thần kinh 	10.104		
67	67	1. Thần kinh 	10.105		
68	68	1. Thần kinh 	10.106		
69	69	1. Thần kinh 	10.107		
70	70	1. Thần kinh 	10.108		
71	71	1. Thần kinh 	10.117		
72	72	1. Thần kinh 	10.11		
73	73	1. Thần kinh 	10.111		
74	74	1. Thần kinh 	10.118		
75	75	1. Thần kinh 	10.12		
76	76	1. Thần kinh 	10.121		
77	77	1. Thần kinh 		Phẫu thuật u não có sử dụng chất huỳnh quang	
78	78	1. Thần kinh 	10.124	Phẫu thuật u da đầu thâm nhiễm xương - màng cứng sọ	
79	79	1. Thần kinh 	10.127	Phẫu thuật giải phóng chèn ép thần kinh tam thoa (dây V) trong đau nửa mặt bằng đường mở nắp sọ	
80	80	1. Thần kinh 	10.128	Phẫu thuật giải phóng chèn ép thần kinh mặt (dây VII) trong co giật nửa mặt (facial tics) bằng đường mở nắp sọ	
81	81	1. Thần kinh 	10.11	Phẫu thuật cắt bỏ dây chằng vàng	
82	82	1. Thần kinh 	3.3633; 10.1101 	Phẫu thuật mở cung sau và cắt bỏ mỏm khớp dưới	
83	83	1. Thần kinh 	10.129	Phẫu thuật phong bế hạch thần kinh tam thoa (hạch Gasser) bằng nhiệt qua da dưới hướng dẫn huỳnh quang	
84	84	1. Thần kinh 		Phẫu thuật đặt điện cực sọ não điều trị bệnh lý thần kinh	
85	85	1. Thần kinh 	10.133		
86	86	1. Thần kinh 	10.142		
87	87	1. Thần kinh 	10.135		
88	88	1. Thần kinh 		Phẫu thuật đặt điện cực sâu ghi điện não đồ	
89	89	1. Thần kinh 		Phẫu thuật đặt điện cực sâu điều trị bệnh lý thần kinh	
90	90	1. Thần kinh 	10.134		
91	91	1. Thần kinh 	10.14		
92	92	1. Thần kinh 	10.141		
93	93	1. Thần kinh 	10.136		
94	94	1. Thần kinh 	10.139		
95	95	1. Thần kinh 	10.149		
96	96	1. Thần kinh 	10.15		
97	97	1. Thần kinh 	10.965		
98	98	1. Thần kinh 	10.151		
99	99	1. Thần kinh 	10.151		
100	100	1. Thần kinh 	10.151		
101	101	1. Thần kinh 	10.1098		
102	102	1. Thần kinh 	10.1103		
103	103	1. Thần kinh 	10.1104		
104	104	1. Thần kinh 	10.1105		
105	105	1. Thần kinh 	10.1111		
106	106	1. Thần kinh 	15.11		
107	107	1. Thần kinh 		Phẫu thuật cắt u não có sử dụng thiết bị dẫn đường	
108	108	1. Thần kinh 	1.205	Đo áp lực nội sọ bằng máy	
109	109	1. Thần kinh 	2.146	Ghi điện não giấc ngủ	
110	110	1. Thần kinh 	2.145	Ghi điện não thường quy	
111	111	1. Thần kinh 	3.14	Kỹ thuật Holter điện não	
112	112	1. Thần kinh 	2.16	Kỹ thuật chẩn đoán chết não bằng điện não đồ	
113	113	1. Thần kinh 	3.141	Ghi điện não bề mặt vỏ não	
114	114	1. Thần kinh 	3.139	Ghi điện não video	
115	115	1. Thần kinh	2.140; 1.213; 3.149	Kỹ thuật kiểm soát trạng thái động kinh	
116	116	1. Thần kinh 	2.131; 2.130	Phong bế các dây - rễ thần kinh của đám rối thần kinh thắt lưng – cùng điều trị các chứng đau mạn tính vùng dưới cơ thể	
117	117	1. Thần kinh 	2.131	"Phong bế các dây - rễ thần kinh đám rối thần kinh cánh tay điều trị các chứng đau vùng vai, cánh tay"	
118	118	1. Thần kinh 	2.131	Phong bế thần kinh cạnh cột sống ngực	
119	119	1. Thần kinh 	2.131; 2.131	"Phong bế đám rối cổ điều trị chứng bệnh đau vùng cổ, vai, sau tai"	
120	120	1. Thần kinh 	2.131	Phong bế dây thần kinh bịt điều trị đau mạn tính chi dưới	
121	121	1. Thần kinh 	2.131; 2.400	Phong bế dây thần kinh giữa tại cổ tay điều trị hội chứng ống cổ tay	
122	122	1. Thần kinh 	2.131	Phong bế dây thần kinh liên sườn điều trị đau vùng ngực do chấn thương đau màng phổi	
123	123	1. Thần kinh 	2.131	Phong bế dây thần kinh mác điều trị hội chứng chỏm xương mác	
124	124	1. Thần kinh 	2.131	Phong bế dây thần kinh quay tại cổ tay điều trị hội chứng chèn ép dây thần kinh quay	
125	125	1. Thần kinh 	2.131	Phong bế dây thần kinh trên vai điều trị đau vùng vai	
126	126	1. Thần kinh 	2.131	Phong bế dây thần kinh trụ tại cổ tay điều trị hội chứng chèn ép dây thần kinh trụ	
127	127	1. Thần kinh 	2.131	Phong bế dây thần kinh trụ tại rãnh trụ điều trị hội chứng đường hầm xương trụ	
128	128	1. Thần kinh 	2.131	"Phong bế dây thần kinh vùng cổ chân điều trị các chứng đau mạn tính dây thần kinh chày sau, dây thần kinh mác nông, mác sâu, dây thần kinh hiển"	
129	129	1. Thần kinh 	2.131	Phong bế điểm xuất chiếu nhánh của dây thần kinh số V	
130	130	1. Thần kinh 	2.131	Phong bế điểm xuất chiếu dây thần kinh chẩm	
131	131	1. Thần kinh 	2.131	Phong bế điều trị đau mạn tính dây thần kinh da đùi ngoài	
132	132	1. Thần kinh 	2.131	Phong bế điều trị đau mạn tính dây thần kinh đùi	
133	133	1. Thần kinh 	2.131	Phong bế điều trị đau mạn tính dây thần kinh hông to	
134	134	1. Thần kinh 	2.131	Phong bế thần kinh cằm	
135	135	1. Thần kinh	2.132; 2.133; 2.134; 2.13; 2.136; 2.137; 2.138; 2.139; 2.161; 2.162; 2.470; 2.471; 2.473; 3.693; 17.131; 17.132; 17.215; 17.216; 2.131	"Tiêm Botulinum toxin điều trị co cứng cơ, loạn trương lực cơ khu trú, các rối loạn vận động khác và đau nguyên nhân thần kinh"	
136	136	1. Thần kinh	2.132; 2.133; 2.134; 2.13; 2.136; 2.137; 2.138; 2.139; 2.161; 2.162; 2.470; 2.471; 2.473; 3.693; 17.131; 17.132; 17.215; 17.216	"Tiêm Botulinum toxin điều trị co cứng cơ, loạn trương lực cơ khu trú, các rối loạn vận động khác và đau nguyên nhân thần kinh dưới hướng dẫn siêu âm"	
137	137	1. Thần kinh	2.132; 2.133; 2.134; 2.13; 2.136; 2.137; 2.138; 2.139; 2.161; 2.162; 2.470; 2.471; 2.473; 3.693; 17.131; 17.132; 17.215; 17.216	"Tiêm Botulinum toxin điều trị co cứng cơ, loạn trương lực cơ khu trú, các rối loạn vận động khác và đau nguyên nhân thần kinh dưới hướng dẫn điện cơ"	
138	138	1. Thần kinh	2.132; 2.133; 2.134; 2.13; 2.136; 2.137; 2.138; 2.139; 2.161; 2.162; 2.470; 2.471; 2.473; 3.693; 17.131; 17.132; 17.215; 17.216	Tiêm Botulinum toxin điều trị chảy nước bọt quá mức dưới hướng dẫn siêu âm	
139	139	1. Thần kinh 	1.212	Đo áp lực oxy nhu mô não xâm lấn	
140	140	1. Thần kinh 	1.212	Đo áp lực oxy nhu mô não xâm lấn trong đột quỵ cấp	
141	141	1. Thần kinh 	1.212	Đo áp lực oxy nhu mô não không xâm lấn	
142	142	1. Thần kinh 	1.212	Đo áp lực oxy nhu mô não không xâm lấn trong đột quỵ cấp	
143	143	1. Thần kinh 	1.21	Test chết não	
144	144	1. Thần kinh 	1.21	Kỹ thuật chẩn đoán chết não trên lâm sàng	
145	145	1. Thần kinh	2.153; 1.208; 6.37; 3.143	Kỹ thuật chẩn đoán chết não bằng siêu âm Doppler xuyên sọ	
146	146	1. Thần kinh 	2.155	Kỹ thuật Holter siêu âm Doppler xuyên sọ	
147	147	1. Thần kinh 	2.154	Kỹ thuật siêu âm Doppler xuyên sọ	
148	148	1. Thần kinh 	1.346	Kỹ thuật tiêu sợi huyết trong điều trị nhồi máu não cấp	
149	149	1. Thần kinh 	2.478	Kỹ thuật đo phản xạ nhắm mắt	
150	150	1. Thần kinh 	2.141	Kỹ thuật ghi dẫn truyền vận động và cảm giác thần kinh chi trên	
151	151	1. Thần kinh 	2.159	Kỹ thuật kích thích thần kinh lặp lại liên tiếp	
152	152	1. Thần kinh 	21.29	Kỹ thuật ghi điện cơ sợi đơn độc	
153	153	1. Thần kinh 	2.158	Kỹ thuật chẩn đoán nhược cơ bằng thuốc	
154	154	1. Thần kinh 	21.29	Kỹ thuật ước lượng số lượng đơn vị vận động	
155	155	1. Thần kinh	21.29 2.148 3.145	Kỹ thuật ghi co cơ gắng sức ngắn bằng điện cơ	
156	156	1. Thần kinh	21.29 2.148 3.145	Kỹ thuật ghi co cơ gắng sức dài bằng điện cơ	
157	157	1. Thần kinh 	21.42	Kỹ thuật đánh giá chức năng thần kinh thực vật bằng điện cơ	
158	158	1. Thần kinh 	21.29 2.143 	Kỹ thuật ghi điện thế gợi thị giác bằng điện cơ	
159	159	1. Thần kinh 	2.479	Nghiệm pháp đánh giá rối loạn nuốt tại giường cho người bệnh đột quỵ não	
160	160	1. Thần kinh 	2.394	Tiêm ngoài màng cứng dưới hướng dẫn của CT scan	
161	161	1. Thần kinh 	2.148; 2.144 	Kỹ thuật ghi điện cơ bằng điện cực kim	
162	162	1. Thần kinh 	1.247	Kỹ thuật kiểm soát thân nhiệt chỉ huy theo đích xâm lấn	
163	163	1. Thần kinh 	1.247	Kỹ thuật kiểm soát thân nhiệt chỉ huy theo đích không xâm lấn	
164	164	1. Thần kinh	2.153; 1.208; 6.37; 3.143	Kỹ thuật tìm tồn tại shunt phải - trái bằng siêu âm doppler xuyên sọ	
165	165	1. Thần kinh	2.148; 3.145; 21.29	Kỹ thuật khảo sát run với điện cơ bề mặt đa kênh và gia tốc kế	
166	166	1. Thần kinh 		Kỹ thuật bít lỗ rò màng cứng bằng máu tự thân	
167	167	1. Thần kinh 		Kỹ thuật đo chỉ số phổ kép (BIS) trong đánh giá tổn thương não cấp	
168	168	1. Thần kinh 		1.205	
169	169	1. Thần kinh 		"Phẫu thuật giảm áp VII (đoạn II, III)"	
170	170	1. Thần kinh 		Phẫu thuật giảm áp dây VII đoạn I	
171	171	1. Thần kinh 	15.384		
172	172	1. Thần kinh 		Phẫu thuật nội soi bằng Robot điều trị các bệnh lý đầu mặt cổ	
173	173	1. Thần kinh 		Phẫu thuật nội soi lấy máu tụ dưới màng cứng	
174	174	1. Thần kinh 		Phẫu thuật nội soi lấy máu tụ trong sọ	
175	175	1. Thần kinh 		Phẫu thuật đặt bộ phát kích thích điện cực tủy sống thì 2	
176	176	1. Thần kinh 		Phẫu thuật đặt điện cực tủy sống qua da kèm theo bộ phát kích thích dưới da thì 2	
177	177	1. Thần kinh 		Phẫu thuật đặt dưới da bộ phát kích thích điện cực thần kinh thì 2	
178	178	1. Thần kinh 	21.29	Kỹ thuật ghi dẫn truyền vận động và cảm giác thần kinh chi dưới	
179	179	1. Thần kinh 	21.29	Kỹ thuật ghi các đáp ứng muộn: sóng F và phản xạ H	
180	180	1. Thần kinh 	21.29	Kỹ thuật ghi điện thế gợi thính giác bằng điện cơ	
181	181	1. Thần kinh 	21.29; 21.34 	Kỹ thuật ghi điện thế cảm giác thân thể bằng điện cơ	
182	182	1. Thần kinh 	17.132	Tiêm botulinum toxin vào cơ thành bàng quang để điều trị bàng quang tăng hoạt động	
183	183	1. Thần kinh	2.132; 2.133; 2.134; 2.13; 2.136; 2.137; 2.138; 2.139; 2.161; 2.162; 2.470; 2.471; 2.473; 3.693; 17.131; 17.132; 17.215; 17.216	"Tiêm Botulinum toxin điều trị co cứng cơ, loạn trương lực cơ khu trú, các rối loạn vận động khác và đau nguyên nhân thần kinh dưới hướng dẫn siêu âm và điện cơ"	
184	184	1. Thần kinh 	10.1	Phẫu thuật xử lý vết thương da đầu phức tạp	
185	185	1. Thần kinh 	15.96	Phẫu thuật nội soi cắt u thần kinh khứu giác	
186	186	1. Thần kinh 	10.88	Phẫu thuật u tầng trước nền sọ bằng mở nắp sọ trán một bên	
187	187	1. Thần kinh 	10.89	Phẫu thuật u tầng trước nền sọ bằng mở nắp sọ trán 2 bên	
188	188	1. Thần kinh 	10.9	Phẫu thuật u tầng trước nền sọ bằng đường mở nắp sọ trán và đường qua xoang sàng	
189	189	1. Thần kinh 	10.8	Phẫu thuật lấy máu tụ dưới màng cứng cấp tính	
190	190	1. Thần kinh 	10.9	Phẫu thuật lấy máu tụ dưới màng cứng mạn tính một bên	
191	191	1. Thần kinh 	10.109	Phẫu thuật u não thất bên bằng đường mở nắp sọ	
192	192	1. Thần kinh 	10.119	Phẫu thuật u đại não bằng đường mở nắp sọ	
193	193	1. Thần kinh 	10.1	Phẫu thuật lấy máu tụ dưới màng cứng mạn tính hai bên	
194	194	1. Thần kinh 	10.122	Phẫu thuật u xương sọ vòm sọ	
195	195	1. Thần kinh 	10.123	Phẫu thuật u thần kinh sọ đoạn dưới nền sọ	
196	196	1. Thần kinh 	10.11	Phẫu thuật dẫn lưu máu tụ trong não thất	
197	197	1. Thần kinh 	10.1102	Mở rộng lỗ liên hợp để giải phóng chèn ép rễ	
198	198	1. Thần kinh 	10.1107	Phẫu thuật giải phóng thần kinh ngoại biên	
199	199	1. Thần kinh 	10.13	Phẫu thuật điều trị giảm đau trong ung thư	
200	200	1. Thần kinh 	10.12	Phẫu thuật lấy máu tụ trong não thất	
201	201	1. Thần kinh 	10.143	Phẫu thuật lấy bỏ bộ phát kích thích điện cực thần kinh	
202	202	1. Thần kinh 	10.137	Lấy bỏ điện cực trong não bằng đường qua da	
203	203	1. Thần kinh 	10.138	Phẫu thuật lấy bỏ điện cực tủy sống bằng đường mở cung sau	
204	204	1. Thần kinh 	10.148	Phẫu thuật u thần kinh ngoại biên	
205	205	1. Thần kinh 	10.966	Phẫu thuật nối thần kinh (1 dây)	
206	206	1. Thần kinh 	10.976	Phẫu thuật chuyển giường thần kinh trụ	
207	207	1. Thần kinh 	27.83; 3.3254 	Phẫu thuật nội soi cắt - đốt hạch giao cảm ngực	
208	208	1. Thần kinh 	27.84	Phẫu thuật nội soi cắt - đốt hạch giao cảm cổ	
209	209	1. Thần kinh 	27.85	Phẫu thuật nội soi cắt - đốt hạch giao cảm thắt lưng	
210	210	1. Thần kinh 	10.1094	Phẫu thuật vết thương tủy sống	
211	211	1. Thần kinh 	10.1108	Phẫu thuật cột sống điều trị các bệnh lý cột sống tái phát	
212	212	1. Thần kinh 	10.111	Phẫu thuật nang màng nhện tủy	
213	213	1. Thần kinh 	15.26	"Phẫu thuật phục hồi, tái tạo dây thần kinh VII (đoạn ngoài sọ)"	
214	214	1. Thần kinh 	10.17	Phẫu thuật vá khuyết sọ sau chấn thương sọ não	
215	215	1. Thần kinh 	10.18	Phẫu thuật đặt catheter vào não thất đo áp lực nội sọ	
216	216	1. Thần kinh 	10.955	Phẫu thuật vết thương phần mềm phức tạp	
217	217	1. Thần kinh 	10.19	Phẫu thuật đặt catheter vào nhu mô đo áp lực nội sọ	
218	218	1. Thần kinh 	10.2	Phẫu thuật đặt catheter vào ống sống thắt lưng đo áp lực dịch não tuỷ	
219	219	1. Thần kinh 	10.1099	Phẫu thuật vá màng cứng hoặc tạo hình màng cứng	
220	220	1. Thần kinh 	10.1096	Phẫu thuật máu tụ ngoài màng cứng tuỷ sống	
221	221	1. Thần kinh 	10.1097	Phẫu thuật máu tụ dưới màng cứng tủy sống	
222	222	1. Thần kinh 	15.71	Phẫu thuật nội soi giảm áp thần kinh thị giác	
223	223	1. Thần kinh 	10.2	Phẫu thuật vỡ lún xương sọ hở	
224	224	1. Thần kinh 	27.32	Phẫu thuật nội soi tạo hình cống não	
225	225	1. Thần kinh 	27.35	Phẫu thuật nội soi lấy u não thất	
226	226	1. Thần kinh 	27.36	Phẫu thuật nội soi sinh thiết u não thất	
227	227	1. Thần kinh 	27.37	Phẫu thuật nội soi phá thông sàn não thất và sinh thiết u não não thất	
228	228	1. Thần kinh 	27.28	Phẫu thuật nội soi hỗ trợ giải ép thần kinh số V	
229	229	1. Thần kinh 	27.3	Phẫu thuật nội soi phá thông sàn não thất III	
230	230	1. Thần kinh 	10.3	Phẫu thuật vết thương sọ não (có rách màng não)	
231	231	1. Thần kinh 	10.33	Phẫu thuật tụ mủ dưới màng cứng	
232	232	1. Thần kinh 	10.34	Phẫu thuật tụ mủ ngoài màng cứng	
233	233	1. Thần kinh 	3.3067; 10.29 	Phẫu thuật viêm xương sọ	
234	234	1. Thần kinh 	10.35	Phẫu thuật áp xe ngoài màng tủy	
235	235	1. Thần kinh 	10.36	Phẫu thuật áp xe dưới màng tủy	
236	236	1. Thần kinh 	10.4	Phẫu thuật xử lý lún sọ không có vết thương	
237	237	1. Thần kinh 	3.3076	Bơm rửa khoang não thất	
238	238	1. Thần kinh 	10.13	Phẫu thuật xử lý vết thương xoang hơi trán	
239	239	1. Thần kinh 	10.46	Phẫu thuật lấy bỏ nang màng tủy (meningeal cysts) trong ống sống bằng đường vào phía sau	
240	240	1. Thần kinh 	10.72	Phẫu thuật mở nắp sọ sinh thiết tổn thương nội sọ	
241	241	1. Thần kinh 	10.14	Phẫu thuật xử lý vết thương xoang tĩnh mạch sọ	
242	242	1. Thần kinh 	10.73	Phẫu thuật sinh thiết tổn thương nội sọ có định vị dẫn đường	
243	243	1. Thần kinh 	10.74	Phẫu thuật sinh thiết tổn thương ở nền sọ qua đường miệng hoặc mũi	
244	244	1. Thần kinh 	10.54	Phẫu thuật mở cung sau đốt sống đơn thuần kết hợp với tạo hình màng cứng tủy	
245	245	1. Thần kinh 	10.57	Dẫn lưu dịch não tủy thắt lưng	
246	246	1. Thần kinh 	10.58	Phẫu thuật dẫn lưu não thất ổ bụng trong dãn não thất	
247	247	1. Thần kinh 	10.5	Phẫu thuật lấy máu tụ ngoài màng cứng trên lều tiểu não	
248	248	1. Thần kinh 	10.6	Phẫu thuật lấy máu tụ ngoài màng cứng dưới lều tiểu não (hố sau)	
249	249	1. Thần kinh 	10.77	Phẫu thuật thoát vị não màng não vòm sọ	
250	250	1. Thần kinh 	10.78	Phẫu thuật thoát vị não màng não nền sọ	
251	251	1. Thần kinh 	27.21	Phẫu thuật nội soi điều trị rò dịch não tuỷ nền sọ	
252	252	1. Thần kinh 	27.33	Phẫu thuật nội soi lấy u nền sọ	
253	253	1. Thần kinh 	27.38	Phẫu thuật nội soi lấy u não vòm sọ	
254	254	1. Thần kinh 	27.39	Phẫu thuật nội soi lấy u não dưới lều	
255	255	1. Thần kinh 	27.4	Phẫu thuật nội soi lấy u sọ hầu qua xoang bướm	
256	256	1. Thần kinh 	27.41	Phẫu thuật nội soi hỗ trợ lấy u não	
257	257	1. Thần kinh 	21.36	Đo điện thế kích thích vận động	
258	258	1. Thần kinh 	1.209	Dẫn lưu não thất ra ngoài	
259	259	1. Thần kinh 	21.3	Điện cơ vùng đáy chậu (EMG)	
260	1	2. Tuần hoàn 	10.8	Phẫu thuật kẹp cổ túi phình mạch não phần trước đa giác Willis	
261	2	2. Tuần hoàn 	10.81	Phẫu thuật kẹp cổ túi phình mạch não phần sau đa giác Willis	
262	3	2. Tuần hoàn 	10.82	Phẫu thuật dị dạng động - tĩnh mạch não	
263	4	2. Tuần hoàn 	10.87	Phẫu thuật dị dạng động - tĩnh mạch màng cứng (fistula durale)	
264	5	2. Tuần hoàn 	10.83	Phẫu thuật u máu thể hang (cavernoma) đại não	
265	6	2. Tuần hoàn 	10.84	Phẫu thuật u máu thể hang tiểu não	
266	7	2. Tuần hoàn 	10.85	Phẫu thuật u máu thể hang thân não	
267	8	2. Tuần hoàn 	10.86	Phẫu thuật nối động mạch trong - ngoài sọ	
268	9	2. Tuần hoàn 		Phẫu thuật tái tạo mạch não bằng cầu nối trực tiếp (có nối mạch)	
269	10	2. Tuần hoàn 		Phẫu thuật tái tạo mạch não bằng cầu nối gián tiếp (không nối mạch)	
270	11	2. Tuần hoàn 		Phẫu thuật nối mạch máu trong sọ có sử dụng chất huỳnh quang	
271	12	2. Tuần hoàn 	10.125	Phẫu thuật dị dạng mạch máu ngoài sọ	
272	13	2. Tuần hoàn 	3.4159; 27.19 	Phẫu thuật nội soi cắt bỏ u mạch máu vùng đầu cổ	
273	14	2. Tuần hoàn 	27.27	Phẫu thuật nội soi hỗ trợ giải áp vi mạch máu - thần kinh sọ	
274	15	2. Tuần hoàn 	10.155	Phẫu thuật vết thương tim	
275	16	2. Tuần hoàn 	10.156	Phẫu thuật vỡ tim do chấn thương	
276	17	2. Tuần hoàn 	10.165	Phẫu thuật điều trị vỡ eo động mạch chủ	
277	18	2. Tuần hoàn 	10.174	Phẫu thuật điều trị vết thương - chấn thương động mạch chủ	
278	19	2. Tuần hoàn 	10.166	Kỹ thuật tim phổi nhân tạo	
279	20	2. Tuần hoàn 	10.167	Phẫu thuật điều trị vết thương - chấn thương mạch máu chi [mạch khoeo]	
280	21	2. Tuần hoàn 	10.167	Phẫu thuật điều trị vết thương - chấn thương mạch máu chi [mạch đùi]	
281	22	2. Tuần hoàn 	10.167	Phẫu thuật điều trị vết thương - chấn thương mạch máu chi [mạch nách]	
282	23	2. Tuần hoàn 	10.17	Phẫu thuật điều trị vết thương - chấn thương mạch dưới đòn	
283	24	2. Tuần hoàn 	10.171	Phẫu thuật điều trị vết thương mạch đốt sống	
284	25	2. Tuần hoàn 	10.172	Phẫu thuật thắt mạch máu ngoại vi	
285	26	2. Tuần hoàn 	10.167	Phẫu thuật điều trị vết thương - chấn thương mạch máu chi [mạch cánh tay]	
286	27	2. Tuần hoàn 	10.167	Phẫu thuật điều trị vết thương - chấn thương mạch máu chi [1 mạch cẳng tay]	
287	28	2. Tuần hoàn 	10.167	Phẫu thuật điều trị vết thương - chấn thương mạch máu chi [2 mạch cẳng tay]	
288	29	2. Tuần hoàn 	10.167	Phẫu thuật điều trị vết thương - chấn thương mạch máu chi [1 mạch cẳng chân]	
289	30	2. Tuần hoàn 	27.25	Phẫu thuật nội soi kẹp cổ túi phình mạch máu não	
